material_id,formula_pretty,composition,elements,a_lattice,b_lattice,c_lattice,volume,density,crystal_system,space_group_symbol,space_group_number,point_group,band_gap,cbm,vbm,is_gap_direct,total_magnetization,energy_above_hull,formation_energy_per_atom,energy_per_atom,bulk_modulus,shear_modulus,homogeneous_poisson,dielectric_constant,last_updated,deprecated
mp-558392,Bi2Ir2O7,Bi4 Ir4 O14,"Bi, Ir, O",10.34491,10.34491,10.34491,1107.083,10.9721,Cubic,Fd-3m,227,m-3m,0.0,,,False,6.4e-06,0.0,-1.46893560636364,-6.93190506227273,,,,,2025-09-23 22:47:33.349000+00:00,False
mp-558448,Pr2Ir2O7,Pr4 Ir4 O14,"Ir, O, Pr",10.460789,10.460789,10.460786,1144.7039,9.0316,Cubic,Fd-3m,227,m-3m,0.0,,,False,3.9906612999999993,0.0,-2.404353863939392,-8.03194825590909,,,,,2025-09-23 22:47:33.352000+00:00,False
mp-557890,Er2Hf2O7,Er4 Hf4 O14,"Er, Hf, O",10.453704,10.453704,10.453704,1142.38,9.3435,Cubic,Fd-3m,227,m-3m,3.1401,5.4854,2.3453,False,0.0028059,0.026654398636356002,-4.01010348590909,-9.799698278181818,,,,,2025-09-23 22:47:33.341000+00:00,False
mp-557806,Er2Tc2O7,Er4 Tc4 O14,"Er, O, Tc",10.262936,10.262936,10.262936,1080.973,7.896,Cubic,Fd-3m,227,m-3m,0.0,,,False,1.5483353,0.11772300999999301,-2.753700506363636,-8.616649828636364,,,,,2025-09-23 22:47:33.338000+00:00,False
mp-557903,Lu2Ru2O7,Lu4 Ru4 O14,"Lu, O, Ru",10.090024,10.090024,10.090024,1027.2511,8.5877,Cubic,Fd-3m,227,m-3m,0.0,,,False,7.9956648999999995,0.051078620568176004,-2.61845676530303,-8.275539221818182,,,,,2025-09-23 22:47:33.343000+00:00,False
mp-559482,Ti2Bi2O7,Ti4 Bi4 O14,"Bi, O, Ti",10.413096,10.413096,10.413096,1129.1187,7.3614,Cubic,Fd-3m,227,m-3m,2.6747,6.9019,4.2272,True,0.0006774,0.046591997954545,-2.634991118333333,-7.9265165445454535,,,,,2025-09-23 22:47:33.362000+00:00,False
mp-559426,Pr2Zr2O7,Pr4 Zr4 O14,"O, Pr, Zr",10.753767,10.753767,10.753767,1243.6032,6.1557,Cubic,Fd-3m,227,m-3m,3.462099999999999,5.6061,2.144,True,0.0,0.0,-3.829410627575757,-9.404144374090908,,,,,2025-09-23 22:47:33.360000+00:00,False
mp-560329,Ce2Zr2O7,Ce4 Zr4 O14,"Ce, O, Zr",10.74178,10.74437,10.742068,1239.7814,6.1564,Cubic,Fd-3m,227,m-3m,0.0,,,False,4.0,0.0,-3.813959809090908,-9.596235085,,,,,2025-09-23 22:47:33.367000+00:00,False
mp-558131,Sm2Tc2O7,Sm4 Tc4 O14,"O, Sm, Tc",10.365986,10.365986,10.365986,1113.8631,7.2598,Cubic,Fd-3m,227,m-3m,0.0,,,False,12.0,0.004162937386359001,-2.778559838181817,-8.668939583181817,,,,,2025-09-23 22:47:33.347000+00:00,False
mp-557697,Hg2Sb2O7,Hg4 Sb4 O14,"Hg, O, Sb",10.406562,10.406562,10.406562,1126.9946,8.9195,Cubic,Fd-3m,227,m-3m,0.0,,,False,2.29e-05,0.0,-1.467053617727276,-5.422787580454548,,,,,2025-09-23 22:47:33.337000+00:00,False
mp-558411,Y2Zr2O7,Y4 Zr4 O14,"O, Y, Zr",10.60823,10.60823,10.60823,1193.7923,5.2552,Cubic,Fd-3m,227,m-3m,2.8224,5.0713,2.2489,False,0.000237,0.059569627045453,-3.841946783636363,-9.728247810454546,"{'voigt': 161.026, 'reuss': 161.026, 'vrh': 161.026}","{'voigt': 87.222, 'reuss': 86.469, 'vrh': 86.846}",0.271,,2025-09-23 22:47:33.351000+00:00,False
mp-558960,Dy2Tc2O7,Dy4 Tc4 O14,"Dy, O, Tc",10.31697,10.31697,10.31697,1098.1369,7.6574,Cubic,Fd-3m,227,m-3m,0.0,,,False,11.9975366,0.024120400454540003,-2.823644789848484,-8.695804424545456,,,,,2025-09-23 22:47:33.354000+00:00,False
mp-561167,Nd2Zr2O7,Nd4 Zr4 O14,"Nd, O, Zr",10.686436,10.686436,10.686436,1220.3901,6.3453,Cubic,Fd-3m,227,m-3m,0.0,,,False,0.00024019999999900002,0.366412884545452,-3.47594355590909,-9.045709297727273,,,,,2025-09-23 22:47:33.373000+00:00,False
mp-561442,Y2Hf2O7,Y4 Hf4 O14,"Hf, O, Y",10.429288,10.429288,10.429288,1134.3942,7.5742,Cubic,Fd-3m,227,m-3m,3.4628,5.8773,2.4145,False,0.0,0.000279715795446,-3.989558998636363,-10.132130643636366,"{'voigt': 169.817, 'reuss': 169.817, 'vrh': 169.817}","{'voigt': 95.937, 'reuss': 95.519, 'vrh': 95.728}",0.263,,2025-09-23 22:47:33.374000+00:00,False
mp-642754,Gd2Mo2O7,Gd4 Mo4 O14,"Gd, Mo, O",10.350879,10.350879,10.350879,1109.0005,7.4073,Cubic,Fd-3m,227,m-3m,0.0,,,False,35.9999994,0.0,-2.879818378636373,-10.559752172727283,,,,,2025-09-23 22:47:33.445000+00:00,False
mp-5950,Cd2Os2O7,Cd4 Os4 O14,"Cd, O, Os",10.308836,10.308836,10.308836,1095.5416,8.6976,Cubic,Fd-3m,227,m-3m,0.0,,,False,0.4843844,0.0,-1.462361143636362,-6.8269504413636355,,,,,2025-09-23 22:47:33.418000+00:00,False
mp-5889,Er2Ti2O7,Er4 Ti4 O14,"Er, O, Ti",10.036078,10.036078,10.036078,1010.8625,7.126,Cubic,Fd-3m,227,m-3m,2.6986,5.6143,2.9157,False,0.0,0.013926795000006001,-3.779598183333331,-9.194338973181816,"{'voigt': 193.302, 'reuss': 193.302, 'vrh': 193.302}","{'voigt': 102.711, 'reuss': 101.975, 'vrh': 102.343}",0.275,,2025-09-23 22:47:33.415000+00:00,False
mp-641683,Eu2Ir2O7,Eu4 Ir4 O14,"Eu, Ir, O",10.335432,10.335742,10.334586,1103.9854,9.6284,Cubic,Fd-3m,227,m-3m,0.0,,,False,12.8225365,0.039831681363628,-2.213915576363638,-8.840171869545456,,,,,2025-09-23 22:47:33.444000+00:00,False
mp-637431,Eu2Ru2O7,Eu4 Ru4 O14,"Eu, O, Ru",10.31795,10.291056,10.317601,1095.5497,7.4706,Cubic,Fd-3m,227,m-3m,0.0,,,False,24.542832,0.08668150318180601,-2.274394330909098,-8.979917598636371,,,,,2025-09-23 22:47:33.430000+00:00,False
mp-5977,Nd2Zr2O7,Nd4 Zr4 O14,"Nd, O, Zr",10.703899,10.703899,10.703899,1226.3825,6.3143,Cubic,Fd-3m,227,m-3m,3.3281,5.4417,2.1136,True,0.0,0.0,-3.842356440454542,-9.412122182272725,"{'voigt': 158.964, 'reuss': 158.964, 'vrh': 158.964}","{'voigt': 86.088, 'reuss': 86.082, 'vrh': 86.085}",0.271,,2025-09-23 22:47:33.420000+00:00,False
mp-642779,Y2V2O7,Y4 V4 O14,"O, V, Y",10.158118,10.158118,10.158118,1048.1894,4.9641,Cubic,Fd-3m,227,m-3m,0.0,,,False,4.0020534,0.6698076159090911,-2.551384602272727,-8.535177527272728,,,,,2025-09-23 22:47:33.447000+00:00,False
mp-647999,Nb2Cd2O7,Nb4 Cd4 O14,"Cd, Nb, O",10.263586,10.263586,10.263586,1081.1784,6.4215,Cubic,Fd-3m,227,m-3m,1.7069,4.2709,2.564,False,2.899999999999999e-06,0.276727237954545,-2.187337671363635,-7.347188352727272,,,,,2025-09-23 22:47:33.470000+00:00,False
mp-642783,Lu2V2O7,Lu4 V4 O14,"Lu, O, V",10.023326,10.023326,10.023326,1007.0141,7.4377,Cubic,Fd-3m,227,m-3m,0.0,,,False,3.998798,0.598421848068181,-2.666551411666666,-8.288998146363637,,,,,2025-09-23 22:47:33.449000+00:00,False
mp-642787,Y2V2O7,Y4 V4 O14,"O, V, Y",10.007077,10.007077,10.007076,1002.1246,5.1923,Cubic,Fd-3m,227,m-3m,0.0,,,False,4.0000002,0.011973221363637002,-3.209218996818181,-9.193011921818181,,,,,2025-09-23 22:47:33.450000+00:00,False
mp-642823,Dy2V2O7,Dy4 V4 O14,"Dy, O, V",10.001662,10.001662,10.001662,1000.4988,7.1551,Cubic,Fd-3m,227,m-3m,0.0,,,False,4.0000002,0.013291790909089002,-3.235672241666665,-8.875698626363636,,,,,2025-09-23 22:47:33.453000+00:00,False
mp-647520,Sb2Pb2O7,Sb4 Pb4 O14,"O, Pb, Sb",10.85601,10.85601,10.85601,1279.4128,7.9941,Cubic,Fd-3m,227,m-3m,0.0,,,False,0.5000275,0.086050969914768,-1.736012202272726,-6.310468898181818,,,,,2025-09-23 22:47:33.467000+00:00,False
mp-647374,Sb2Pb2O7,Sb4 Pb4 O14,"O, Pb, Sb",10.740308,10.740308,10.740308,1238.9398,8.2553,Cubic,Fd-3m,227,m-3m,0.0,,,False,0.000243,0.44402094627840405,-1.3780422259090899,-5.952498921818182,,,,,2025-09-23 22:47:33.465000+00:00,False
mp-685944,Eu2Zr2O7,Eu4 Zr4 O14,"Eu, O, Zr",10.621376,10.621485,10.621444,1198.256,6.63,Cubic,Fd-3m,227,m-3m,0.0,,,False,23.9999998,0.116308565454541,-3.529834099545454,-10.103229747272726,,,,,2025-09-23 22:47:33.491000+00:00,False
mp-752411,Tm2Pb2O7,Tm4 Pb4 O14,"O, Pb, Tm",10.68562,10.68562,10.68562,1220.1105,9.4099,Cubic,Fd-3m,227,m-3m,1.1489,4.8353,3.6864,True,0.0005898,0.021082372954546003,-2.546940055,-7.185669521818181,,,,,2025-09-23 22:47:33.535000+00:00,False
mp-752400,Ce2Sm2O7,Ce4 Sm4 O14,"Ce, O, Sm",11.04102,11.04102,11.04102,1345.9459,6.8393,Cubic,Fd-3m,227,m-3m,2.0326,5.2123,3.1797,True,0.0002822,0.080746642840908,-3.816782404090908,-8.902855044545454,,,,,2025-09-23 22:47:33.534000+00:00,False
mp-752849,Y2Pb2O7,Y4 Pb4 O14,"O, Pb, Y",10.672173,10.672173,10.672173,1215.5101,7.6963,Cubic,Fd-3m,227,m-3m,0.998699999999999,4.7108,3.7121,True,0.0,0.0,-2.52819351772727,-7.535393897272725,"{'voigt': 139.254, 'reuss': 139.254, 'vrh': 139.254}","{'voigt': 71.445, 'reuss': 69.905, 'vrh': 70.675}",0.28300000000000003,,2025-09-23 22:47:33.541000+00:00,False
mp-753414,Lu2Pt2O7,Lu4 Pt4 O14,"Lu, O, Pt",10.044337,10.044337,10.044337,1013.3603,11.1703,Cubic,Fd-3m,227,m-3m,1.657299999999998,5.286,3.6287000000000003,False,0.0,0.0,-2.497053484848487,-7.571723355909094,,,,,2025-09-23 22:47:33.547000+00:00,False
mp-753692,Ho2Ge2O7,Ho4 Ge4 O14,"Ge, Ho, O",9.886151,9.886151,9.886151,966.2328,8.0723,Cubic,Fd-3m,227,m-3m,3.252,5.9627,2.7107,False,0.0,0.0,-3.088216099090916,-7.91341079681819,,,,,2025-09-23 22:47:33.551000+00:00,False
mp-754120,Dy2Nb2O7,Dy4 Nb4 O14,"Dy, Nb, O",10.369616,10.369616,10.369616,1115.0338,7.42,Cubic,Fd-3m,227,m-3m,0.0,,,False,0.0978522,0.09221990146465901,-3.387768535757574,-9.212776551363635,,,,,2025-09-23 22:47:33.562000+00:00,False
mp-753905,Tm2Zr2O7,Tm4 Zr4 O14,"O, Tm, Zr",10.505814,10.505814,10.505814,1159.549,7.2441,Cubic,Fd-3m,227,m-3m,2.3939,4.5681,2.1742,False,0.0002217,0.10139600704545801,-3.858373712727274,-9.376203826818182,,,,,2025-09-23 22:47:33.553000+00:00,False
mp-754302,Dy2Zr2O7,Dy4 Zr4 O14,"Dy, O, Zr",10.586822,10.586822,10.586822,1186.5795,6.935,Cubic,Fd-3m,227,m-3m,2.7479,4.9317,2.1838,False,0.0004256,0.035970105454543,-3.864660388030302,-9.407194874545455,,,,,2025-09-23 22:47:33.572000+00:00,False
mp-754918,Ho2Mn2O7,Ho4 Mn4 O14,"Ho, Mn, O",9.864942,9.864942,9.864942,960.0273,7.6346,Cubic,Fd-3m,227,m-3m,1.1659,3.6888,2.5229,False,12.0000008,0.0,-2.9032127205329132,-8.553677861363637,,,,,2025-09-23 22:47:33.585000+00:00,False
mp-755065,Ce2Ti2O7,Ce4 Ti4 O14,"Ce, O, Ti",10.363836,10.363836,10.363836,1113.1703,5.8232,Cubic,Fd-3m,227,m-3m,0.0,,,False,1.0403503,0.023583105909089002,-3.660334544696968,-9.324026436363637,,,,,2025-09-23 22:47:33.595000+00:00,False
mp-754768,Tb2Pt2O7,Tb4 Pt4 O14,"O, Pt, Tb",10.221361,10.221361,10.221361,1067.8892,10.2008,Cubic,Fd-3m,227,m-3m,1.357899999999999,5.1539,3.7960000000000003,False,0.0,0.0,-2.449571400757576,-7.545364211818183,,,,,2025-09-23 22:47:33.580000+00:00,False
mp-754207,Tb2Mn2O7,Tb4 Mn4 O14,"Mn, O, Tb",9.928785,9.928785,9.928785,978.7872,7.3252,Cubic,Fd-3m,227,m-3m,1.1024,3.656,2.5536,False,12.0000006,0.0,-2.882692812199581,-8.540464163636363,,,,,2025-09-23 22:47:33.566000+00:00,False
mp-754289,Mn2Hg2O7,Mn4 Hg4 O14,"Hg, Mn, O",10.149564,10.149291,10.149716,1045.5312,7.9168,Cubic,Fd-3m,227,m-3m,0.0,,,False,8.0028096,0.05859331621212101,-1.166442817805644,-6.037270244545454,,,,,2025-09-23 22:47:33.571000+00:00,False
mp-754174,Tb2Nb2O7,Tb4 Nb4 O14,"Nb, O, Tb",10.41046,10.41046,10.41046,1128.2615,7.2489,Cubic,Fd-3m,227,m-3m,0.0,,,False,0.0365637,0.092274649159092,-3.382738889393939,-9.211290195,,,,,2025-09-23 22:47:33.565000+00:00,False
mp-754646,Dy2Ge2O7,Dy4 Ge4 O14,"Dy, Ge, O",9.915851,9.915851,9.915851,974.967,7.9337,Cubic,Fd-3m,227,m-3m,3.205699999999999,5.9666,2.7609,False,0.0,0.012263362727277,-3.046913139848485,-7.875870758181819,,,,,2025-09-23 22:47:33.577000+00:00,False
