Egap,Egap_type,ael_bulk_modulus_vrh,ael_debye_temperature,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,agl_debye,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,auid,aurl,compound,spinD,spin_atom,valence_cell_iupac
3.3362,insulator-indirect,169.083,495.957,0.262609,95.3711,240.833,"a,x4","10.5256,0.412685",521.062,6.43897,2.97851e-05,aflow:868f500a39cc59bb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2O7Y2_ICSD_153819,Hf4O14Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.2087,insulator-direct,160.956,465.501,0.270836,87.0731,221.311,"a,x4","10.5894,0.842355",468.02,4.15721,3.76102e-05,aflow:8f55b8fd8c7100a5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7Sn2_ICSD_82960,Dy4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
0,metal,221.178,414.611,0.340411,79.0004,211.786,"a,x4","10.238,0.879468",364.067,1.88474,4.53249e-05,aflow:94728fb708ce29e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pt2Sb2_ICSD_108965,O14Pt4Sb4,"0.136,0.124,0.144,0.143,0.144,0.132,0.143,0.144,0.124,0.136,0.144,0.132,0.051,0.051,1.395,1.375,1.356,1.374,0.018,0.019,0.021,0.02",0.337129,72
0,half-metal,155.878,431.912,0.29611,73.5629,190.691,"a,x4","10.0903,0.423592",426.959,1.85878,6.03319e-05,aflow:9aa441c460318dd7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn2O7Tl2_ICSD_56515,Mn4O14Tl4,"3.279,3.268,3.289,3.279,-0.141,-0.141,-0.135,-0.135,-0.139,-0.139,-0.135,-0.135,-0.141,-0.141,-0.139,-0.139,0.089,0.089,0.045,0.045,0.045,0.045",0.545616,68
0,metal,154.456,553.606,0.26177,87.4866,220.776,"a,x4","10.2866,0.421982",561.883,3.67755,4.4881e-05,aflow:b1f0715636739c9c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn2O7Sb2_ICSD_247301,Mn4O14Sb4,"4.683,4.681,4.685,4.683,0.022,0.022,0.023,0.022,0.021,0.022,0.022,0.023,0.022,0.022,0.021,0.022,0.03,0.03,0.007,0.006,0.007,0.007",0.909033,76
1.3957,insulator-indirect_spin-polarized,186.522,497.247,0.280721,95.8064,245.403,"a,x4","10.3373,0.411486",505.984,5.00051,3.28746e-05,aflow:b857eda6f6bae17d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7Tc2_ICSD_109080,Dy4O14Tc4,"0.063,0.062,0.062,0.061,0.071,0.071,0.071,0.058,0.063,0.051,0.058,0.071,0.071,0.071,0.063,0.051,0.001,0.001,2.592,2.591,2.591,2.59",0.545465,72
0,metal,149.528,394.071,0.296821,70.2818,182.286,"a,x4","10.5494,0.82072",397.052,2.0121,5.04491e-05,aflow:bc370dbba9251e37,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Sb2_ICSD_160088,Hg4O14Sb4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
3.0089,insulator-indirect,172.767,448.492,0.262457,97.5229,246.237,"a,x4","10.4568,0.839468",472.974,5.98782,3.03539e-05,aflow:bc78f78037a30785,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2Hf2O7_ICSD_162006,Er4Hf4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0.553,insulator-indirect,189.467,477.88,0.295453,89.748,232.529,"a,x4","10.2617,0.838063",483.999,4.26953,3.42479e-05,aflow:c1c40da078a99fb2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7Ru2_ICSD_78151,Dy4O14Ru4,"0.05,0.051,0.05,0.05,0.073,0.06,0.07,0.07,0.055,0.068,0.07,0.07,0.06,0.073,0.055,0.068,-0.001,-0.001,1.709,1.698,1.708,1.72",0.363662,76
2.2244,insulator-direct,161.139,466.444,0.272806,86.2893,219.659,"a,x4","10.6152,0.841625",468.076,4.11772,3.76806e-05,aflow:c4732fa16eb24522,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Tb2_ICSD_82959,O14Sn4Tb4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
0,metal,181.517,388.125,0.300895,83.3448,216.846,"a,x4","10.4283,0.831568",401.036,3.29991,3.55691e-05,aflow:d1c53dfc3ace44df,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2Ir2O7_ICSD_161103,Bi4Ir4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,80
