Egap,Egap_type,aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,compound,spinD,spin_atom,valence_cell_iupac
0,metal,"a,x4","10.3439,0.427989",aflow:22f5cb84ee0d48e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155765,Cd4O14Os4,"0.033,0.032,0.032,0.032,0.148,0.167,0.189,0.189,0.165,0.184,0.189,0.189,0.167,0.148,0.165,0.184,0.121,0.121,2.273,2.289,2.304,2.289",0.54494,68
0,half-metal,"a,x4","10.3749,0.819842",aflow:2244fd8fc6042b21,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Re2_ICSD_28445,Cd4O14Re4,"0.023,0.021,0.019,0.021,0.024,0.01,0.062,0.062,0.044,0.029,0.062,0.062,0.01,0.024,0.044,0.029,0.017,0.017,1.883,1.842,1.801,1.845",0.363636,64
3.296,insulator-indirect,"a,x4","10.2514,0.419154",aflow:23120c71c0b95db2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_159785,O14Tb4Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
0.0816,insulator-direct,"a,x4","10.1389,0.83264",aflow:2351290d30c636b9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Yb2_ICSD_186196,O14Ti4Yb4,"-0.058,-0.058,-0.064,-0.065,-0.06,-0.06,-0.065,-0.064,-0.058,-0.058,-0.06,-0.06,-0.095,-0.095,0.009,0.009,0.008,0.008,-0.723,-0.744,-0.745,-0.767",-0.181462,56
3.8174,insulator-direct,"a,x4","10.9524,0.831232",aflow:230367ea2c50156c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_154752,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.8182,insulator-direct,"a,x4","10.9503,0.418758",aflow:247bbd3ebc05c5d2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_153222,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.1164,insulator-indirect,"a,x4","10.5356,0.817428",aflow:2507c8eba74d0028,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Ta2_ICSD_77061,Cd4O14Ta4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.2951,insulator-indirect,"a,x4","10.2422,0.419285",aflow:263678ba745fc81c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_24206,O14Ti4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
1.9621,insulator-indirect,"a,x4","10.2211,0.892333",aflow:27893b56ecab0821,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_33672,Cd4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.4291,insulator-direct,"a,x4","10.8361,0.415836",aflow:287347360975e3fa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Zr2_ICSD_150207,O14Pr4Zr4,"-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.032,-0.032,1.987,1.987,1.986,1.987,0,0,0,0",0.36356,60
1.9383,insulator-indirect,"a,x4","9.518,0.821494",aflow:2859f7f97921edc5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/In2O7Si2_ICSD_1458,In4O14Si4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.1166,insulator-indirect,"a,x4","10.4824,0.838738",aflow:2abe19acdd8fcd02,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2Ho2O7_ICSD_162005,Hf4Ho4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.2925,insulator-indirect,"a,x4","10.2424,0.830772",aflow:2b22c02fd653163d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_42702,O14Ti4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.2249,insulator-direct,"a,x4","10.6153,0.408392",aflow:2db3dbc9b38c36d7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Tb2_ICSD_159790,O14Sn4Tb4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
2.2508,insulator-direct,"a,x4","10.6037,0.408209",aflow:2e0f15e68d17a377,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_84805,O14Sn4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,half-metal,"a,x4","10.5,0.419893",aflow:2f1d5517583903d3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_166567,Bi4O14Ru4,"0.047,0.04,0.047,0.054,0.057,0.065,0.09,0.09,0.08,0.072,0.09,0.09,0.065,0.057,0.08,0.072,0.018,0.018,1.641,1.629,1.639,1.65",0.363626,80
0,half-metal,"a,x4","10.3363,0.820449",aflow:30fa88014dbc0ad5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Tc2_ICSD_180008,Cd4O14Tc4,"0.015,0.014,0.016,0.017,0.011,-0.019,0.057,0.056,0.007,0.036,0.056,0.057,-0.019,0.011,0.007,0.036,-0.021,-0.021,1.809,1.78,1.812,1.84",0.363774,64
3.2888,insulator-indirect,"a,x4","10.2396,0.830948",aflow:31b61379d4fb0fc3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_93770,O14Ti4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0.5345,insulator-indirect,"a,x4","10.6183,0.813547",aflow:3194a3cbf41303b8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2Nb2O7_ICSD_22226,Hg4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
2.0805,insulator-indirect,"a,x4","10.5105,0.817094",aflow:32b9e9ca9bb557c5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_168998,Cd4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.3495,insulator-indirect,"a,x4","10.82,0.415362",aflow:34577a021bcc3bf6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Zr2_ICSD_62793,Nd4O14Zr4,"2.969,2.969,2.969,2.969,-0.041,-0.041,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.002,-0.002,-0.002,-0.002",0.545393,60
3.2993,insulator-indirect,"a,x4","10.2516,0.419245",aflow:35df7b9dd18ee3cd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_159784,O14Tb4Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
0,metal,"a,x4","10.4521,0.432405",aflow:36c928c62270d974,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159802,Hg4O14Os4,"0.048,0.048,0.046,0.051,0.161,0.177,0.163,0.147,0.183,0.182,0.147,0.163,0.177,0.161,0.183,0.182,0.166,0.166,2.196,2.198,2.222,2.17",0.53054,76
0,metal,"a,x4","10.3439,0.822008",aflow:377b19b09bf04cd6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155763,Cd4O14Os4,"0.032,0.032,0.032,0.033,0.189,0.189,0.167,0.148,0.184,0.165,0.148,0.167,0.189,0.189,0.184,0.165,0.121,0.121,2.304,2.289,2.289,2.273",0.544941,68
0.5163,insulator-indirect,"a,x4","10.5107,0.831809",aflow:3738d8faeea43080,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Ru2_ICSD_78133,Nd4O14Ru4,"2.987,2.986,2.988,2.987,0.067,0.067,0.064,0.051,0.056,0.069,0.051,0.064,0.067,0.067,0.056,0.069,-0.041,-0.041,1.689,1.678,1.701,1.69",0.90913,76
2.0855,insulator-direct,"a,x4","10.9715,0.833341",aflow:39d6247fa8017e9a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Sn2_ICSD_167144,La4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.4525,0.817264",aflow:3a61baf6dcbf9163,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159807,Hg4O14Os4,"0.051,0.048,0.048,0.046,0.183,0.183,0.161,0.178,0.147,0.163,0.178,0.161,0.183,0.183,0.147,0.163,0.165,0.165,2.167,2.195,2.194,2.219",0.530205,76
0.8556,insulator-indirect,"a,x4","10.054,0.419891",aflow:3a4a6876faf133b0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn2O7Y2_ICSD_202516,Mn4O14Y4,"3.259,3.261,3.258,3.259,-0.008,-0.008,-0.098,-0.098,-0.105,-0.109,-0.104,-0.1,-0.109,-0.105,-0.098,-0.098,-0.104,-0.1,0.022,0.022,0.023,0.022",0.545395,68
0.5524,insulator-indirect,"a,x4","10.2314,0.838808",aflow:3add5c3f5522b969,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho2O7Ru2_ICSD_96730,Ho4O14Ru4,"0.054,0.054,0.054,0.055,0.069,0.07,0.059,0.072,0.054,0.067,0.072,0.059,0.07,0.069,0.054,0.067,-0.001,-0.001,1.721,1.71,1.71,1.7",0.363642,72
0,half-metal,"a,x4","10.5039,0.830191",aflow:3b5090fa3a09cc57,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_166566,Bi4O14Ru4,"0.04,0.054,0.047,0.047,0.064,0.057,0.08,0.072,0.09,0.09,0.072,0.08,0.057,0.064,0.09,0.09,0.018,0.018,1.63,1.652,1.642,1.641",0.363627,80
3.3462,insulator-indirect,"a,x4","10.8209,0.834664",aflow:3c35f9884057a217,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Zr2_ICSD_249974,Nd4O14Zr4,"2.969,2.969,2.969,2.969,-0.041,-0.041,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.002,-0.002,-0.002,-0.002",0.545411,60
0.0838,insulator-direct,"a,x4","10.1402,0.417298",aflow:3d6287c20288a1ef,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Yb2_ICSD_161405,O14Ti4Yb4,"0.095,0.095,0.064,0.064,0.06,0.06,0.057,0.057,0.06,0.06,0.064,0.064,0.057,0.057,-0.009,-0.009,-0.008,-0.009,0.746,0.746,0.768,0.724",0.181804,56
0.8117,insulator-indirect,"a,x4","10.1121,0.831213",aflow:3d1f3040f69c29a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7V2_ICSD_160863,Dy4O14V4,"0.006,0.005,0.006,0.006,-0.029,-0.028,-0.025,-0.025,-0.027,-0.027,-0.025,-0.025,-0.028,-0.029,-0.027,-0.027,0,0,1.04,1.045,1.04,1.034",0.181793,64
2.1174,insulator-indirect,"a,x4","10.5344,0.432483",aflow:3d7ea012d0f48467,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Ta2_ICSD_27123,Cd4O14Ta4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.8271,0.362968",aflow:3f79a5060d7a9a11,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184102,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.3148,insulator-indirect,"a,x4","10.8216,0.415323",aflow:3f94e58e38411237,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Zr2_ICSD_174187,Nd4O14Zr4,"2.968,2.969,2.968,2.968,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.039,-0.039,-0.002,-0.003,-0.002,-0.002",0.545454,60
0.5162,insulator-indirect,"a,x4","10.5109,0.831806",aflow:4087639876ca3f66,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Ru2_ICSD_79327,Nd4O14Ru4,"2.985,2.987,2.987,2.988,0.067,0.068,0.064,0.051,0.069,0.056,0.051,0.064,0.068,0.067,0.069,0.056,-0.04,-0.04,1.678,1.689,1.69,1.701",0.909143,76
0,half-metal,"a,x4","10.9,0.432443",aflow:419c4b6caa59a978,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2F6Hg2S1_ICSD_156367,Cu4F12Hg4S2,"0.771,0.728,0.714,0.744,0.087,0.091,0.088,0.089,0.084,0.086,0.089,0.088,0.091,0.087,0.084,0.086,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002",0.182047,56
0,metal,"a,x4","10.3034,0.417199",aflow:4260df9809b76428,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Ru2_ICSD_79332,Gd4O14Ru4,"7.013,7.013,7.013,7.013,-0.016,-0.016,-0.015,-0.016,-0.015,-0.014,-0.016,-0.015,-0.016,-0.016,-0.015,-0.014,-0.042,-0.042,-0.022,-0.021,-0.025,-0.021",1.26958,72
0,metal,"a,x4","10.7361,0.348734",aflow:4211fa0b4a8c987c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pb2Sb2_ICSD_24246,O14Pb4Sb4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
3.8106,insulator-direct,"a,x4","10.9566,0.418728",aflow:42214ee738e23258,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_153814,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
6,insulator-indirect,"a,x3,x4","13.0757,0.723342,0.775162",aflow:4397ed9a800a61af,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4Cd1K2N4_ICSD_23994,C8Cd2K4N8,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,80
2.2472,insulator-direct,"a,x4","10.6063,0.408248",aflow:43a95bb7cd8a43ac,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_153817,O14Sn4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.4531,0.81726",aflow:455356e5dfe33177,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159796,Hg4O14Os4,"0.046,0.048,0.051,0.048,0.178,0.161,0.183,0.183,0.163,0.147,0.183,0.183,0.161,0.178,0.163,0.147,0.165,0.165,2.219,2.194,2.167,2.195",0.530221,76
2.0818,insulator-indirect,"a,x4","10.508,0.817316",aflow:45da11711f06cd30,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_27122,Cd4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
