Composition,Sample A,Sample B,Oxidation State A,Oxidation State B,Thermal Conductivity (W/m/K),Lattice Parameter (Å),Vickers Hardness (GPa),CTE (K^-1),Relative Density %,Density Measured,Density Calculated,Energy per Atom,Formation Energy per Atom,Enthalpy,Activation Energy (eV),Magnetic Moment,Band Gap,Band Gap Type,Valence,Bulk Modulus (GPa),Shear Modulus (GPa),Youngs Modulus (GPa),Poisson Ratio,Fracture Toughness (Mpa*m^.5),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),High Temp CTE,AEL Debye Temperature,Temperature (K),Energy Above Hull,Ionic Radius A (Å),Ionic Radius B (Å),rA/rB (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),Electronegativity A,Electronegativity B,Synthesis Method,compound_type,data_source
Nd2Zr2O7,Nd,Zr,3.0,4.0,1.975,10.77327,11.14,,98.2,6.4335,6.1386175000000005,-9.25001625,,-9.25001625,,0.54539475,2.915525,"insulator-indirect, metal",60.0,172.4,99.2,199.4,0.26,0.99,,0.75,10.31145,,,,1.109,0.72,1.54,,97.5,4.41,1.14,1.33,DFT,pristine,"aflow, literature_extraction"
Pr2Hf2O7,Pr,Hf,3.0,4.0,,10.67,,,,,8.22,,,,,,,,,,,,,,,,11.0,,,,1.126,0.71,1.586,,,,1.13,1.3,nan,pristine,literature_extraction
Pr2Ru2O7,Pr,Ru,3.0,4.0,,10.445599999999999,,,,,6.9483999999999995,-7.075654999999999,,-7.075654999999999,,0.363628,0.211,"insulator-indirect, metal",76.0,,,,,,,,,,,,1.126,0.62,,,,,1.13,2.2,DFT,pristine,aflow
Pr2Sn2O7,Pr,Sn,3.0,4.0,,10.855,,,,,6.55556,-7.22882,,-7.22882,,0.363631,2.1716,insulator-direct,60.0,,,,,,,,,,,,1.126,0.69,,,,,1.13,1.96,DFT,pristine,aflow
Pr2Te2O7,Pr,Te,3.0,4.0,,11.0239,,,,,6.43549,-6.57051,,-6.57051,,0.363282,0.0,half-metal,68.0,,,,,,,,,,,,1.126,0.97,,,,,1.13,2.1,DFT,pristine,aflow
Pr2Zr2O7,Pr,Zr,3.0,4.0,1.9,10.8393,,,,,6.011055000000001,-9.12392,,-9.12392,,0.36361750000000004,3.4360999999999997,insulator-direct,60.0,,,,,,,,,,,,1.126,0.72,,,,,1.13,1.33,DFT,pristine,"aflow, literature_extraction"
Sc2Mn2O7,Sc,Mn,3.0,4.0,,9.7751,,,,,4.43436,-7.81459,,-7.81459,,0.545418,1.0503,insulator-indirect,68.0,,,,,,,,,,,,0.87,0.53,,,,,1.36,1.55,DFT,pristine,aflow
Sc2Zr2O7,Sc,Zr,3.0,4.0,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.72,,,,,1.36,1.33,nan,pristine,literature_extraction
Sm2Hf2O7,Sm,Hf,3.0,4.0,,10.57,,,,,8.65,,,,,,,,,,,,,,,,15.97,,,,1.079,0.71,1.52,,,,1.17,1.3,nan,pristine,literature_extraction
Sm2Ti2O7,Sm,Ti,3.0,4.0,1.72,10.23,6.404999999999999,,99.4,6.12,,,,,,,,,,,,,,,,1.05,,,,,1.079,0.605,,,,,1.17,1.54,nan,pristine,literature_extraction
Sm2Zr2O7,Sm,Zr,3.0,4.0,2.04,,,,100.0,,,,,,,,,,,,,220.1,,,,,,,,,1.079,0.72,1.52,0.0,,,1.17,1.33,nan,pristine,literature_extraction
