Composition,Sample A,Sample B,a_stoich_json,b_stoich_json,Lattice Parameter (Å),Thermal Conductivity (W/m/K),Vickers Hardness (GPa),CTE (K^-1),Relative Density %,Density Measured,Density Calculated,Bulk Modulus (GPa),Shear Modulus (GPa),Youngs Modulus (GPa),Poisson Ratio,Fracture Toughness (Mpa*m^.5),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),High Temp CTE,Temperature (K),Ionic Radius A (Å),Ionic Radius B (Å),oxygen_param_x,rA/rB (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),compound_type,data_source
LaSmYTiZr TF,"La,Sm,Y","Ti,Zr","{""La"": 0.3333333333333333, ""Sm"": 0.3333333333333333, ""Y"": 0.3333333333333333}","{""Ti"": 0.5, ""Zr"": 0.5}",10.3711,1.024692308,,,0.929,,,,,,,,,,,,,,,,,,,high_entropy,safin_experimental
Ce0.05Gd1.95Ti2O7,"Ce,Gd",Ti,"{""Gd"": 0.975, ""Ce"": 0.025}","{""Ti"": 1.0}",10.1708,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.1Gd1.9Ti2O7,"Ce,Gd",Ti,"{""Gd"": 0.95, ""Ce"": 0.05}","{""Ti"": 1.0}",10.1755,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.2Gd1.8Ti2O7,"Ce,Gd",Ti,"{""Gd"": 0.9, ""Ce"": 0.1}","{""Ti"": 1.0}",10.1846,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.25Gd1.75Ti2O7,"Ce,Gd",Ti,"{""Gd"": 0.875, ""Ce"": 0.125}","{""Ti"": 1.0}",10.194,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.5Gd1.5Ti2O7,"Ce,Gd",Ti,"{""Gd"": 0.75, ""Ce"": 0.25}","{""Ti"": 1.0}",10.2066,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.8Gd1.2Ti2O7,"Ce,Gd",Ti,"{""Gd"": 0.6, ""Ce"": 0.4}","{""Ti"": 1.0}",10.2297,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
La1.9Eu0.1Hf2O7,"Eu,La",Hf,"{""La"": 0.95, ""Eu"": 0.05}","{""Hf"": 1.0}",10.765,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Eu1.9Ti2Fe0.1O7,"Eu,Fe",Ti,"{""Eu"": 0.95, ""Fe"": 0.05}","{""Ti"": 1.0}",10.1722,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Eu1.8Ti2Fe0.2O7,"Eu,Fe",Ti,"{""Eu"": 0.9, ""Fe"": 0.1}","{""Ti"": 1.0}",10.157,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ti2Cr0.5Bi1.5O7,"Bi,Cr",Ti,"{""Bi"": 0.75, ""Cr"": 0.25}","{""Ti"": 1.0}",10.34214,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ca2Bi2O7,"Bi,Ca",,"{""Ca"": 0.5, ""Bi"": 0.5}",{},10.75021,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sr2Bi2O7,"Bi,Sr",,"{""Sr"": 0.5, ""Bi"": 0.5}",{},10.94132,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.4Gd1.6Ti2O7,"Ce,Gd",Ti,"{""Gd"": 0.8, ""Ce"": 0.2}","{""Ti"": 1.0}",10.197,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.4Gd1.6Ti2O7,"Ce,Gd",Ti,"{""Gd"": 0.8, ""Ce"": 0.2}","{""Ti"": 1.0}",10.1956,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.4Gd1.6Ti2O7,"Ce,Gd",Ti,"{""Gd"": 0.8, ""Ce"": 0.2}","{""Ti"": 1.0}",10.175,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.4Gd1.6Ti2O7,"Ce,Gd",Ti,"{""Gd"": 0.8, ""Ce"": 0.2}","{""Ti"": 1.0}",10.1911,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.54Mg0.89Ta1.57O7,"Mg,Nd",Ta,"{""Mg"": 0.3662551440329218, ""Nd"": 0.6337448559670782}","{""Ta"": 1.0}",10.3967,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Mg1Nb1.5Bi1.5O7,"Bi,Mg",Nb,"{""Bi"": 0.6, ""Mg"": 0.4}","{""Nb"": 1.0}",10.5461,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ca0.1Gd1.8Zr0.1Ti2O7,"Ca,Gd","Ti,Zr","{""Gd"": 0.9473684210526315, ""Ca"": 0.05263157894736842}","{""Zr"": 0.047619047619047616, ""Ti"": 0.9523809523809523}",10.1762,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ca0.2Gd1.6Zr0.2Ti2O7,"Ca,Gd","Ti,Zr","{""Gd"": 0.888888888888889, ""Ca"": 0.11111111111111112}","{""Zr"": 0.09090909090909091, ""Ti"": 0.9090909090909091}",10.1629,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ca0.3Gd1.4Zr0.3Ti2O7,"Ca,Gd","Ti,Zr","{""Gd"": 0.8235294117647058, ""Ca"": 0.17647058823529413}","{""Zr"": 0.13043478260869565, ""Ti"": 0.8695652173913044}",10.1533,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ca0.4Gd1.2Zr0.4Ti2O7,"Ca,Gd","Ti,Zr","{""Gd"": 0.7499999999999999, ""Ca"": 0.25}","{""Zr"": 0.16666666666666669, ""Ti"": 0.8333333333333334}",10.1356,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Mn0.2Mo1.8O7,Gd,"Mn,Mo","{""Gd"": 1.0}","{""Mo"": 0.9, ""Mn"": 0.1}",10.31757,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ho2Mn0.2Mo1.8O7,Ho,"Mn,Mo","{""Ho"": 1.0}","{""Mo"": 0.9, ""Mn"": 0.1}",10.204,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
