Composition,Sample A,Sample B,a_stoich_json,b_stoich_json,Lattice Parameter (Å),Thermal Conductivity (W/m/K),Vickers Hardness (GPa),CTE (K^-1),Relative Density %,Density Measured,Density Calculated,Bulk Modulus (GPa),Shear Modulus (GPa),Youngs Modulus (GPa),Poisson Ratio,Fracture Toughness (Mpa*m^.5),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),High Temp CTE,Temperature (K),Ionic Radius A (Å),Ionic Radius B (Å),oxygen_param_x,rA/rB (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),compound_type,data_source
TaInBi2O7,"Bi,In",Ta,"{""Bi"": 0.6666666666666666, ""In"": 0.3333333333333333}","{""Ta"": 1.0}",10.7612,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
TaGaBi2O7,"Bi,Ga",Ta,"{""Bi"": 0.6666666666666666, ""Ga"": 0.3333333333333333}","{""Ta"": 1.0}",10.4478,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
TaInBi2O7,"Bi,In",Ta,"{""Bi"": 0.6666666666666666, ""In"": 0.3333333333333333}","{""Ta"": 1.0}",10.7612,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
TaCrBi2O7,"Bi,Cr",Ta,"{""Bi"": 0.6666666666666666, ""Cr"": 0.3333333333333333}","{""Ta"": 1.0}",10.45229,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
TaCrBi2O7,"Bi,Cr",Ta,"{""Bi"": 0.6666666666666666, ""Cr"": 0.3333333333333333}","{""Ta"": 1.0}",10.45097,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm1.89Mg0.11Ti2O6.945,"Mg,Sm",Ti,"{""Sm"": 0.945, ""Mg"": 0.055}","{""Ti"": 1.0}",10.216,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm1.89Ti2Co0.11O6.945,"Co,Sm",Ti,"{""Sm"": 0.945, ""Co"": 0.055}","{""Ti"": 1.0}",10.215,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm1.89Ti2Ni0.11O6.945,"Ni,Sm",Ti,"{""Sm"": 0.945, ""Ni"": 0.055}","{""Ti"": 1.0}",10.219,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ho2Ti1.85Fe0.15O7,Ho,"Fe,Ti","{""Ho"": 1.0}","{""Ti"": 0.925, ""Fe"": 0.075}",10.1013,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ho1.8Ti2Fe0.2O7,"Fe,Ho",Ti,"{""Ho"": 0.9, ""Fe"": 0.1}","{""Ti"": 1.0}",10.0804,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm2TaInO7,"In,Sm",Ta,"{""Sm"": 0.6666666666666666, ""In"": 0.3333333333333333}","{""Ta"": 1.0}",10.5448,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Zr0.7Ti1.3O7,Gd,"Ti,Zr","{""Gd"": 1.0}","{""Ti"": 0.65, ""Zr"": 0.35}",10.3208,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Zr0.7Ti1.3O7,Gd,"Ti,Zr","{""Gd"": 1.0}","{""Ti"": 0.65, ""Zr"": 0.35}",10.3171,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Zr0.7Ti1.3O7,Gd,"Ti,Zr","{""Gd"": 1.0}","{""Ti"": 0.65, ""Zr"": 0.35}",10.3171,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.78Zn0.22Ru2O7,"Y,Zn",Ru,"{""Y"": 0.89, ""Zn"": 0.11}","{""Ru"": 1.0}",10.1141,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb0.25Bi1.75Ru2O6.955,"Bi,Yb",Ru,"{""Bi"": 0.875, ""Yb"": 0.125}","{""Ru"": 1.0}",10.2711,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb0.375Bi1.625Ru2O6.954,"Bi,Yb",Ru,"{""Bi"": 0.8125, ""Yb"": 0.1875}","{""Ru"": 1.0}",10.2599,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb0.5Bi1.5Ru2O6.97,"Bi,Yb",Ru,"{""Bi"": 0.75, ""Yb"": 0.25}","{""Ru"": 1.0}",10.2478,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb0.625Bi1.375Ru2O6.958,"Bi,Yb",Ru,"{""Bi"": 0.6875, ""Yb"": 0.3125}","{""Ru"": 1.0}",10.2366,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb0.75Bi1.25Ru2O6.967,"Bi,Yb",Ru,"{""Bi"": 0.625, ""Yb"": 0.375}","{""Ru"": 1.0}",10.2258,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb0.875Bi1.125Ru2O6.996,"Bi,Yb",Ru,"{""Bi"": 0.5625, ""Yb"": 0.4375}","{""Ru"": 1.0}",10.212,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
YbBiRu2O7,"Bi,Yb",Ru,"{""Bi"": 0.5, ""Yb"": 0.5}","{""Ru"": 1.0}",10.1958,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb1.125Bi0.875Ru2O7,"Bi,Yb",Ru,"{""Bi"": 0.4375, ""Yb"": 0.5625}","{""Ru"": 1.0}",10.1808,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb1.25Bi0.75Ru2O7,"Bi,Yb",Ru,"{""Bi"": 0.375, ""Yb"": 0.625}","{""Ru"": 1.0}",10.1576,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb1.375Bi0.625Ru2O7,"Bi,Yb",Ru,"{""Bi"": 0.3125, ""Yb"": 0.6875}","{""Ru"": 1.0}",10.1405,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb0.25Bi1.75Ru2O6.955,"Bi,Yb",Ru,"{""Bi"": 0.875, ""Yb"": 0.125}","{""Ru"": 1.0}",10.2711,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb0.375Bi1.625Ru2O6.954,"Bi,Yb",Ru,"{""Bi"": 0.8125, ""Yb"": 0.1875}","{""Ru"": 1.0}",10.2599,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb0.5Bi1.5Ru2O6.97,"Bi,Yb",Ru,"{""Bi"": 0.75, ""Yb"": 0.25}","{""Ru"": 1.0}",10.2478,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb0.625Bi1.375Ru2O6.957,"Bi,Yb",Ru,"{""Bi"": 0.6875, ""Yb"": 0.3125}","{""Ru"": 1.0}",10.2366,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb0.75Bi1.25Ru2O6.966,"Bi,Yb",Ru,"{""Bi"": 0.625, ""Yb"": 0.375}","{""Ru"": 1.0}",10.2258,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
YbBiRu2O7,"Bi,Yb",Ru,"{""Bi"": 0.5, ""Yb"": 0.5}","{""Ru"": 1.0}",10.1958,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb1.125Bi0.875Ru2O7,"Bi,Yb",Ru,"{""Bi"": 0.4375, ""Yb"": 0.5625}","{""Ru"": 1.0}",10.1808,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb1.25Bi0.75Ru2O7,"Bi,Yb",Ru,"{""Bi"": 0.375, ""Yb"": 0.625}","{""Ru"": 1.0}",10.1576,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Yb1.375Bi0.625Ru2O7,"Bi,Yb",Ru,"{""Bi"": 0.3125, ""Yb"": 0.6875}","{""Ru"": 1.0}",10.1405,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.99Dy0.01Ti2O7,"Dy,Gd",Ti,"{""Gd"": 0.995, ""Dy"": 0.005}","{""Ti"": 1.0}",10.18,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.98Dy0.02Ti2O7,"Dy,Gd",Ti,"{""Gd"": 0.99, ""Dy"": 0.01}","{""Ti"": 1.0}",10.18,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.97Dy0.03Ti2O7,"Dy,Gd",Ti,"{""Gd"": 0.985, ""Dy"": 0.015}","{""Ti"": 1.0}",10.18,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.96Dy0.04Ti2O7,"Dy,Gd",Ti,"{""Gd"": 0.98, ""Dy"": 0.02}","{""Ti"": 1.0}",10.18,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.95Dy0.05Ti2O7,"Dy,Gd",Ti,"{""Gd"": 0.975, ""Dy"": 0.025}","{""Ti"": 1.0}",10.18,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.9Co0.1Ru2O7,"Co,Gd",Ru,"{""Gd"": 0.95, ""Co"": 0.05}","{""Ru"": 1.0}",10.225,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.6Co0.4Ru2O7,"Co,Gd",Ru,"{""Gd"": 0.8, ""Co"": 0.2}","{""Ru"": 1.0}",10.2042,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Eu0.1Y1.9Ti2O7,"Eu,Y",Ti,"{""Y"": 0.95, ""Eu"": 0.05}","{""Ti"": 1.0}",10.1,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Eu0.2Y1.8Ti2O7,"Eu,Y",Ti,"{""Y"": 0.9, ""Eu"": 0.1}","{""Ti"": 1.0}",10.105,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Eu0.5Y1.5Ti2O7,"Eu,Y",Ti,"{""Y"": 0.75, ""Eu"": 0.25}","{""Ti"": 1.0}",10.119,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
EuYTi2O7,"Eu,Y",Ti,"{""Y"": 0.5, ""Eu"": 0.5}","{""Ti"": 1.0}",10.157,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm0.05Y1.95Ti2O7,"Sm,Y",Ti,"{""Y"": 0.975, ""Sm"": 0.025}","{""Ti"": 1.0}",10.098,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm0.1Y1.9Ti2O7,"Sm,Y",Ti,"{""Y"": 0.95, ""Sm"": 0.05}","{""Ti"": 1.0}",10.105,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm0.2Y1.8Ti2O7,"Sm,Y",Ti,"{""Y"": 0.9, ""Sm"": 0.1}","{""Ti"": 1.0}",10.113,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm0.5Y1.5Ti2O7,"Sm,Y",Ti,"{""Y"": 0.75, ""Sm"": 0.25}","{""Ti"": 1.0}",10.125,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
SmYTi2O7,"Sm,Y",Ti,"{""Y"": 0.5, ""Sm"": 0.5}","{""Ti"": 1.0}",10.16,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Ta1.034Cr0.966O7,"Cr,Gd",Ta,"{""Gd"": 0.6743088334457181, ""Cr"": 0.3256911665542818}","{""Ta"": 1.0}",10.29015,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Ta0.984Cr1.016O7,"Cr,Y",Ta,"{""Y"": 0.6631299734748011, ""Cr"": 0.33687002652519893}","{""Ta"": 1.0}",10.20068,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm2Ta1.154Cr0.846O7,"Cr,Sm",Ta,"{""Sm"": 0.7027406886858749, ""Cr"": 0.2972593113141251}","{""Ta"": 1.0}",10.34059,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
SmDyTi2O7,"Dy,Sm",Ti,"{""Sm"": 0.5, ""Dy"": 0.5}","{""Ti"": 1.0}",10.175,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
SmHoTi2O7,"Ho,Sm",Ti,"{""Sm"": 0.5, ""Ho"": 0.5}","{""Ti"": 1.0}",10.162,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
YbSmTi2O7,"Sm,Yb",Ti,"{""Sm"": 0.5, ""Yb"": 0.5}","{""Ti"": 1.0}",10.133,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.04Gd2Ti1.96O7,Gd,"Ce,Ti","{""Gd"": 1.0}","{""Ti"": 0.98, ""Ce"": 0.02}",10.1177,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.08Gd2Ti1.92O7,Gd,"Ce,Ti","{""Gd"": 1.0}","{""Ti"": 0.96, ""Ce"": 0.04}",10.1208,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.12Gd2Ti1.88O7,Gd,"Ce,Ti","{""Gd"": 1.0}","{""Ti"": 0.94, ""Ce"": 0.06}",10.1247,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.16Gd2Ti1.84O7,Gd,"Ce,Ti","{""Gd"": 1.0}","{""Ti"": 0.92, ""Ce"": 0.08}",10.1332,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.08Gd2Ti1.94O7,Gd,"Ce,Ti","{""Gd"": 1.0}","{""Ti"": 0.9603960396039604, ""Ce"": 0.039603960396039604}",10.1433,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.04Gd2Ti1.96O7,Gd,"Ce,Ti","{""Gd"": 1.0}","{""Ti"": 0.98, ""Ce"": 0.02}",10.1413,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.12Gd2Ti1.88O7,Gd,"Ce,Ti","{""Gd"": 1.0}","{""Ti"": 0.94, ""Ce"": 0.06}",10.1477,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.16Gd2Ti1.84O7,Gd,"Ce,Ti","{""Gd"": 1.0}","{""Ti"": 0.92, ""Ce"": 0.08}",10.1527,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.6Ho0.4Ti2O7,"Gd,Ho",Ti,"{""Gd"": 0.8, ""Ho"": 0.2}","{""Ti"": 1.0}",10.1746,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.2Ho0.8Ti2O7,"Gd,Ho",Ti,"{""Gd"": 0.6, ""Ho"": 0.4}","{""Ti"": 1.0}",10.16,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd0.8Ho1.2Ti2O7,"Gd,Ho",Ti,"{""Gd"": 0.4, ""Ho"": 0.6}","{""Ti"": 1.0}",10.1428,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
SmGdTi2O7,"Gd,Sm",Ti,"{""Sm"": 0.5, ""Gd"": 0.5}","{""Ti"": 1.0}",,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
SmErTi2O7,"Er,Sm",Ti,"{""Sm"": 0.5, ""Er"": 0.5}","{""Ti"": 1.0}",10.156,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
NbInBi2O7,"Bi,In",Nb,"{""Bi"": 0.6666666666666666, ""In"": 0.3333333333333333}","{""Nb"": 1.0}",10.79166,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
NbInBi2O7,"Bi,In",Nb,"{""Bi"": 0.6666666666666666, ""In"": 0.3333333333333333}","{""Nb"": 1.0}",10.7915,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
La1.48Nd0.52Zr2O7,"La,Nd",Zr,"{""La"": 0.74, ""Nd"": 0.26}","{""Zr"": 1.0}",10.78457,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
La1.26Nd0.74Zr2O7,"La,Nd",Zr,"{""La"": 0.63, ""Nd"": 0.37}","{""Zr"": 1.0}",10.75648,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
LaNdZr2O7,"La,Nd",Zr,"{""La"": 0.5, ""Nd"": 0.5}","{""Zr"": 1.0}",10.72892,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
La0.9Nd1.1Zr2O7,"La,Nd",Zr,"{""La"": 0.45, ""Nd"": 0.55}","{""Zr"": 1.0}",10.70252,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd2Zr1.556Ti0.444O7,Nd,"Ti,Zr","{""Nd"": 1.0}","{""Zr"": 0.778, ""Ti"": 0.222}",10.5908,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd2Zr1.188Ti0.812O7,Nd,"Ti,Zr","{""Nd"": 1.0}","{""Zr"": 0.594, ""Ti"": 0.406}",10.5254,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd2Zr0.89Ti1.11O7,Nd,"Ti,Zr","{""Nd"": 1.0}","{""Zr"": 0.445, ""Ti"": 0.555}",10.46209,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd2Zr0.89Ti1.11O7,Nd,"Ti,Zr","{""Nd"": 1.0}","{""Zr"": 0.445, ""Ti"": 0.555}",10.46015,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2ZrSnO7,Y,"Sn,Zr","{""Y"": 1.0}","{""Zr"": 0.5, ""Sn"": 0.5}",10.3,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Eu0.02Y1.98Zr1Sn1O7,Y,"Eu,Sn,Zr","{""Y"": 1.0}","{""Zr"": 0.49504950495049505, ""Eu"": 0.009900990099009901, ""Sn"": 0.49504950495049505}",10.35,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
YTaBi2O7,"Bi,Y",Ta,"{""Bi"": 0.6666666666666666, ""Y"": 0.3333333333333333}","{""Ta"": 1.0}",10.7859,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
LaTaBi2O7,"Bi,La",Ta,"{""Bi"": 0.6666666666666666, ""La"": 0.3333333333333333}","{""Ta"": 1.0}",10.96,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
TaIn2BiO7,"Bi,In",Ta,"{""In"": 0.6666666666666666, ""Bi"": 0.3333333333333333}","{""Ta"": 1.0}",10.6972,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
La1.2Ce0.8Y0.8Zr1.2O7,"La,Y","Ce,Zr","{""Y"": 0.4, ""La"": 0.6}","{""Zr"": 0.6, ""Ce"": 0.4}",10.792,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Ti1.986Cr0.014O7,"Cr,Y",Ti,"{""Y"": 0.99304865938431, ""Cr"": 0.006951340615690169}","{""Ti"": 1.0}",10.09633,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Ti1.916Cr0.084O7,"Cr,Y",Ti,"{""Y"": 0.9596928982725528, ""Cr"": 0.04030710172744722}","{""Ti"": 1.0}",10.09904,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Ti1.894Cr0.106O7,"Cr,Y",Ti,"{""Y"": 0.9496676163342831, ""Cr"": 0.050332383665717004}","{""Ti"": 1.0}",10.09639,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Ti1.884Cr0.116O7,"Cr,Y",Ti,"{""Y"": 0.9451795841209829, ""Cr"": 0.054820415879017016}","{""Ti"": 1.0}",10.09577,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Ti1.904Cr0.096O7,"Cr,Y",Ti,"{""Y"": 0.9541984732824427, ""Cr"": 0.04580152671755725}","{""Ti"": 1.0}",10.09609,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.26Ti2Bi0.74O7,"Bi,Y",Ti,"{""Y"": 0.63, ""Bi"": 0.37}","{""Ti"": 1.0}",10.221,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.3Ti2Bi0.7O7,"Bi,Y",Ti,"{""Y"": 0.65, ""Bi"": 0.35}","{""Ti"": 1.0}",10.206,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y1.73Ti2Bi0.27O7,"Bi,Y",Ti,"{""Y"": 0.865, ""Bi"": 0.135}","{""Ti"": 1.0}",10.134,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Tb1.6La0.4Mo2O7,"La,Tb",Mo,"{""Tb"": 0.8, ""La"": 0.2}","{""Mo"": 1.0}",10.378,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Tb1.6La0.4Mo2O7,"La,Tb",Mo,"{""Tb"": 0.8, ""La"": 0.2}","{""Mo"": 1.0}",10.21,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Tb1.6La0.4Mo2O7,"La,Tb",Mo,"{""Tb"": 0.8, ""La"": 0.2}","{""Mo"": 1.0}",10.27,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Zr0.7Ti1.3O7,Gd,"Ti,Zr","{""Gd"": 1.0}","{""Ti"": 0.65, ""Zr"": 0.35}",10.3208,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Zr0.7Ti1.3O7,Gd,"Ti,Zr","{""Gd"": 1.0}","{""Ti"": 0.65, ""Zr"": 0.35}",10.3171,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Zr0.7Ti1.3O7,Gd,"Ti,Zr","{""Gd"": 1.0}","{""Ti"": 0.65, ""Zr"": 0.35}",10.3171,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd0.05Gd1.95Zr2O7,"Gd,Nd",Zr,"{""Gd"": 0.975, ""Nd"": 0.025}","{""Zr"": 1.0}",10.5429,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd0.15Gd1.85Zr2O7,"Gd,Nd",Zr,"{""Gd"": 0.925, ""Nd"": 0.075}","{""Zr"": 1.0}",10.5433,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd0.2Gd1.8Zr2O7,"Gd,Nd",Zr,"{""Gd"": 0.9, ""Nd"": 0.1}","{""Zr"": 1.0}",10.5571,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd0.4Gd1.6Zr2O7,"Gd,Nd",Zr,"{""Gd"": 0.8, ""Nd"": 0.2}","{""Zr"": 1.0}",10.5688,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.6Gd0.4Zr2O7,"Gd,Nd",Zr,"{""Gd"": 0.2, ""Nd"": 0.8}","{""Zr"": 1.0}",10.6092,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr2ScNbO7,"Pr,Sc",Nb,"{""Pr"": 0.6666666666666666, ""Sc"": 0.3333333333333333}","{""Nb"": 1.0}",10.5591,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd2ScNbO7,"Nd,Sc",Nb,"{""Nd"": 0.6666666666666666, ""Sc"": 0.3333333333333333}","{""Nb"": 1.0}",10.5091,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Eu2ScNbO7,"Eu,Sc",Nb,"{""Sc"": 0.3333333333333333, ""Eu"": 0.6666666666666666}","{""Nb"": 1.0}",10.45,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2ScNbO7,"Gd,Sc",Nb,"{""Gd"": 0.6666666666666666, ""Sc"": 0.3333333333333333}","{""Nb"": 1.0}",10.4429,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Dy2ScNbO7,"Dy,Sc",Nb,"{""Dy"": 0.6666666666666666, ""Sc"": 0.3333333333333333}","{""Nb"": 1.0}",10.3657,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.27Ti2Bi0.73O7,"Bi,Gd",Ti,"{""Gd"": 0.635, ""Bi"": 0.365}","{""Ti"": 1.0}",10.2471,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.28Ti2Bi0.72O7,"Bi,Gd",Ti,"{""Gd"": 0.64, ""Bi"": 0.36}","{""Ti"": 1.0}",10.2345,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr0.2Bi1.8Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.9, ""Pr"": 0.1}","{""Ru"": 1.0}",10.3048,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr0.4Bi1.6Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.8, ""Pr"": 0.2}","{""Ru"": 1.0}",10.3143,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr0.6Bi1.4Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.7, ""Pr"": 0.3}","{""Ru"": 1.0}",10.3234,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr0.8Bi1.2Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.6, ""Pr"": 0.4}","{""Ru"": 1.0}",10.3295,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
PrBiRu2O7,"Bi,Pr",Ru,"{""Bi"": 0.5, ""Pr"": 0.5}","{""Ru"": 1.0}",10.3416,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr1.2Bi0.8Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.4, ""Pr"": 0.6}","{""Ru"": 1.0}",10.3434,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr1.4Bi0.6Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.3, ""Pr"": 0.7}","{""Ru"": 1.0}",10.354,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr1.6Bi0.4Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.2, ""Pr"": 0.8}","{""Ru"": 1.0}",10.362,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Pr1.8Bi0.2Ru2O7,"Bi,Pr",Ru,"{""Bi"": 0.1, ""Pr"": 0.9}","{""Ru"": 1.0}",10.368,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
YTi2BiO7,"Bi,Y",Ti,"{""Y"": 0.5, ""Bi"": 0.5}","{""Ti"": 1.0}",10.1984,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm2NbInO7,"In,Sm",Nb,"{""Sm"": 0.6666666666666666, ""In"": 0.3333333333333333}","{""Nb"": 1.0}",10.559,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sm2ScNbO7,"Sc,Sm",Nb,"{""Sm"": 0.6666666666666666, ""Sc"": 0.3333333333333333}","{""Nb"": 1.0}",10.497,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd2Ti1.85Te0.15O7,Gd,"Te,Ti","{""Gd"": 1.0}","{""Ti"": 0.925, ""Te"": 0.075}",10.1906,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
