Composition,Sample A,Sample B,Lattice Parameter (Angstrom),data_source,compound_type,a_stoich_json,b_stoich_json,Temperature,density_calc,is_single_phase,a_site_n_elements,a_site_entropy,a_site_mean_radius,a_site_radius_variance,a_site_radius_std,a_site_delta,a_site_en_mean,a_site_en_variance,a_site_mean_atomic_num,a_site_mean_molar_mass,b_site_n_elements,b_site_entropy,b_site_mean_radius,b_site_radius_variance,b_site_radius_std,b_site_delta,b_site_en_mean,b_site_en_variance,b_site_mean_atomic_num,b_site_mean_molar_mass,a_b_radius_ratio,total_entropy,total_delta,phonon_scattering_factor,n_total_elements,site_asymmetry,en_site_contrast,mass_site_contrast,lattice_volume,density_theoretical
PrYbTiHf TF,"Pr,Yb","Ti,Hf",10.34771,safin_experimental,high_entropy,"{""Pr"": 0.5, ""Yb"": 0.5}","{""Ti"": 0.5, ""Hf"": 0.5}",,,1.0,2.0,5.762825659175385,1.0554999999999999,0.004970249999999993,0.07049999999999995,0.06679298910468967,1.115,0.00022499999999999707,64.5,156.975,2.0,5.762825659175385,0.6575,0.002756249999999999,0.05249999999999999,0.07984790874524711,1.42,0.0144,47.0,113.18,1.6053231939163497,11.52565131835077,0.14664089784993678,1.6901318576282645,4.0,0.0,0.30499999999999994,43.79499999999999,1107.9821062422957,7.82114838511786
LaGdLuTiHf TF,"La,Gd,Lu","Ti,Hf",10.36585,safin_experimental,high_entropy,"{""La"": 0.3333333333333333, ""Gd"": 0.3333333333333333, ""Lu"": 0.3333333333333333}","{""Ti"": 0.5, ""Hf"": 0.5}",,,1.0,3.0,9.133862567986663,1.0633333333333332,0.0056348888888888855,0.0750658969765158,0.07059488743872958,1.19,0.0048666666666666615,64.0,157.04333333333332,2.0,5.762825659175385,0.6575,0.002756249999999999,0.05249999999999999,0.07984790874524711,1.42,0.0144,47.0,113.18,1.6172370088719898,14.896688227162048,0.15044279618397668,2.241099430775185,5.0,1.0,0.22999999999999998,43.863333333333316,1113.8193543155016,7.7817897422450955
LaGdLu TiZr SM 2500 1500 20,"La,Gd,Lu","Ti,Zr",10.35687,safin_experimental,high_entropy,"{""La"": 0.3333333333333333, ""Gd"": 0.3333333333333333, ""Lu"": 0.3333333333333333}","{""Ti"": 0.5, ""Zr"": 0.5}",,,1.0,3.0,9.133862567986663,1.0633333333333332,0.0056348888888888855,0.0750658969765158,0.07059488743872958,1.19,0.0048666666666666615,64.0,157.04333333333332,2.0,5.762825659175385,0.6625,0.0033062499999999993,0.057499999999999996,0.08679245283018866,1.435,0.011024999999999997,31.0,69.545,1.6050314465408804,14.896688227162048,0.15738734026891824,2.3445501388883416,5.0,1.0,0.2450000000000001,87.49833333333332,1110.927135512988,6.758462128291436
PrYb SM 2500 1500 20,"Pr,Yb","Ti,Zr",10.37021,safin_experimental,high_entropy,"{""Pr"": 0.5, ""Yb"": 0.5}","{""Ti"": 0.5, ""Zr"": 0.5}",,,1.0,2.0,5.762825659175385,1.0554999999999999,0.004970249999999993,0.07049999999999995,0.06679298910468967,1.115,0.00022499999999999707,64.5,156.975,2.0,5.762825659175385,0.6625,0.0033062499999999993,0.057499999999999996,0.08679245283018866,1.435,0.011024999999999997,31.0,69.545,1.5932075471698113,11.52565131835077,0.15358544193487833,1.770172251316216,4.0,0.0,0.32000000000000006,87.42999999999999,1115.2254026189603,6.73078589303844
LaGdLuTiHf SM 2500 1500 20,"La,Gd,Lu","Ti,Hf",10.36733,safin_experimental,high_entropy,"{""La"": 0.3333333333333333, ""Gd"": 0.3333333333333333, ""Lu"": 0.3333333333333333}","{""Ti"": 0.5, ""Hf"": 0.5}",,,1.0,3.0,9.133862567986663,1.0633333333333332,0.0056348888888888855,0.0750658969765158,0.07059488743872958,1.19,0.0048666666666666615,64.0,157.04333333333332,2.0,5.762825659175385,0.6575,0.002756249999999999,0.05249999999999999,0.07984790874524711,1.42,0.0144,47.0,113.18,1.6172370088719898,14.896688227162048,0.15044279618397668,2.241099430775185,5.0,1.0,0.22999999999999998,43.863333333333316,1114.2965041920452,7.77845752321647
PrYb TiHf SM 2500 1500 20,"Pr,Yb","Ti,Hf",10.37763,safin_experimental,high_entropy,"{""Pr"": 0.5, ""Yb"": 0.5}","{""Ti"": 0.5, ""Hf"": 0.5}",,,1.0,2.0,5.762825659175385,1.0554999999999999,0.004970249999999993,0.07049999999999995,0.06679298910468967,1.115,0.00022499999999999707,64.5,156.975,2.0,5.762825659175385,0.6575,0.002756249999999999,0.05249999999999999,0.07984790874524711,1.42,0.0144,47.0,113.18,1.6053231939163497,11.52565131835077,0.14664089784993678,1.6901318576282645,4.0,0.0,0.30499999999999994,43.79499999999999,1117.620984212954,7.753695200237255
LaYTiZr TF,"La,Y","Ti,Zr",10.36109,safin_experimental,high_entropy,"{""La"": 0.5, ""Y"": 0.5}","{""Ti"": 0.5, ""Zr"": 0.5}",,,0.0,2.0,5.762825659175385,1.0895,0.004970250000000001,0.07050000000000001,0.06470858191831114,1.1600000000000001,0.003599999999999993,48.0,113.91,2.0,5.762825659175385,0.6625,0.0033062499999999993,0.057499999999999996,0.08679245283018866,1.435,0.011024999999999997,31.0,69.545,1.6445283018867924,11.52565131835077,0.1515010347484998,1.7461481008805524,4.0,0.0,0.2749999999999999,44.364999999999995,1112.2856607194433,5.719878488944766
LaSmYTiZr TF,"La,Sm,Y","Ti,Zr",10.3711,safin_experimental,high_entropy,"{""La"": 0.3333333333333333, ""Sm"": 0.3333333333333333, ""Y"": 0.3333333333333333}","{""Ti"": 0.5, ""Zr"": 0.5}",,,1.0,3.0,9.133862567986663,1.0859999999999999,0.0033380000000000003,0.05777542730261716,0.053200209302594136,1.1633333333333333,0.0024222222222222175,52.666666666666664,126.06,2.0,5.762825659175385,0.6625,0.0033062499999999993,0.057499999999999996,0.08679245283018866,1.435,0.011024999999999997,31.0,69.545,1.6392452830188677,14.896688227162048,0.1399926621327828,2.0854270418825,5.0,1.0,0.2716666666666667,56.515,1115.5125624144312,5.992720646666855
Lu2Ti2O7,Lu,Ti,9.99,notebookLM_literature,pristine,"{""Lu"": 1.0}","{""Ti"": 1.0}",,,0.0,1.0,-0.0,0.977,0.0,0.0,0.0,1.27,0.0,71.0,174.97,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.6148760330578513,-0.0,0.0,-0.0,2.0,0.0,0.27,127.1,997.002999,7.43083881322055
Bi2Sn2O7,Bi,Sn,10.7428,notebookLM_literature,pristine,"{""Bi"": 1.0}","{""Sn"": 1.0}",,,0.0,1.0,-0.0,1.17,0.0,0.0,0.0,2.02,0.0,83.0,208.98,1.0,-0.0,0.69,0.0,0.0,0.0,1.96,0.0,50.0,118.71,1.6956521739130435,-0.0,0.0,-0.0,2.0,0.0,0.06000000000000005,90.27,1239.8023964667523,8.222563582919829
