Composition,Sample A,Sample B,Oxidation State A,Oxidation State B,Thermal Conductivity (W/m/K),Lattice Parameter (Angstrom),Density,Energy per Atom,Formation Energy per Atom,Enthalpy,Magnetic Moment,Band Gap,Band Gap Type,Valence,Bulk Modulus (VRH),Shear Modulus (VRH),Youngs Modulus (VRH),Poisson Ratio,AEL Debye Temperature,Temperature,Thermal Expansion,Energy Above Hull,Ionic Radius A (Angstrom),Ionic Radius B (Angstrom),Electronegativity A,Electronegativity B,Synthesis Method,compound_type,data_source
La1Sn1O6,La,Sn,3.0,4.0,3.44255,10.96915,6.3127125,-7.06212,,-7.06212,0.0,2.09025,insulator-direct,56.0,146.589,74.5631,191.261,0.282543,454.677,,3.93351e-05,,1.16,0.69,1.1,1.96,DFT,pristine,aflow
La1Ti1O6,La,Ti,3.0,4.0,5.5638,10.60775,5.40451,-8.17539,,-8.17539,0.0,3.2645,insulator-indirect,56.0,169.15,87.087,222.992,0.280282,549.063,,3.1944e-05,,1.16,0.605,1.1,1.54,DFT,pristine,aflow
La1Zr1O6,La,Zr,3.0,4.0,5.3462,10.866181818181817,5.926130454545454,-8.670404545454547,,-8.670404545454547,0.0,1.2126181818181818,"metal, insulator-direct",56.0,155.689,81.8649,208.968,0.276298,498.354,,3.09565e-05,,1.16,0.72,1.1,1.33,DFT,pristine,aflow
Lu1Sn1O6,Lu,Sn,3.0,4.0,4.246671142985332,10.4665,8.10216,-7.09362,,-7.09362,0.0,2.1098,insulator-direct,56.0,168.0675455963266,87.19562360363622,225.30457283485558,0.2734111083172042,462.37017172156817,,3.815632527205484e-05,,0.977,0.69,1.27,1.96,DFT,pristine,aflow
Nd1Hf1O6,Nd,Hf,3.0,4.0,5.806800019609529,10.7365,8.13024,-9.69325,,-9.69325,0.545505,3.7692,insulator-indirect,60.0,165.78248085594518,89.53299523448486,228.09081706535397,0.26864879385466467,463.9752044276633,,3.0442238996163562e-05,,1.109,0.71,1.14,1.3,DFT,pristine,aflow
Nd1Pt1O6,Nd,Pt,3.0,4.0,4.306738312116599,10.5329,8.98834,-6.94354,,-6.94354,0.545454,1.3734,insulator-indirect,68.0,163.54330768658892,84.45242105697062,218.06873021238692,0.2891315538612591,458.5380572005729,,3.534408356298521e-05,,1.109,0.625,1.14,2.28,DFT,pristine,aflow
Nd1Ru1O6,Nd,Ru,3.0,4.0,4.730360179170725,10.51155,6.892585,-7.6176875,,-7.6176875,0.909111,0.517,insulator-indirect,76.0,176.788848209653,88.78482082581051,228.65792734062558,0.2920319556498844,486.9364741154828,,3.336563530769415e-05,,1.109,0.62,1.14,2.2,DFT,pristine,aflow
Nd1Sn1O6,Nd,Sn,3.0,4.0,3.737345601363213,10.8216,6.68642,-7.07953,,-7.07953,0.54545,0.0,half-metal,60.0,153.3253002623054,76.76548618554799,198.51611673667287,0.2860354671611927,469.9244621348543,,4.068770175966762e-05,,1.109,0.69,1.14,1.96,DFT,pristine,aflow
Nd1Ti1O6,Nd,Ti,3.0,4.0,6.279012793718456,10.4693,5.74524,-8.54524,,-8.54524,0.545455,3.218,insulator-indirect_spin-polarized,60.0,172.80463004891402,96.00655738702807,243.0477891566926,0.27006347839058753,562.363809405899,,3.1230968776542295e-05,,1.109,0.605,1.14,1.54,DFT,pristine,aflow
Nd1Zr1O6,Nd,Zr,3.0,4.0,5.6928367767474946,10.8053375,6.1386175000000005,-9.25001625,,-9.25001625,0.54539475,2.915525,"insulator-indirect, metal",60.0,159.9705195280444,85.4938902880347,217.20519053852928,0.27393351550095685,484.7767251646986,,3.081909018656609e-05,,1.109,0.72,1.14,1.33,DFT,pristine,aflow
Pr1Ru1O6,Pr,Ru,3.0,4.0,4.335078840029269,10.4456,6.9484,-7.075654999999999,,-7.075654999999999,0.363628,0.211,"insulator-indirect, metal",76.0,176.55208846797498,84.48069975011381,218.64304528772792,0.2929664383424851,477.66008936822254,,3.4805448478816614e-05,,1.126,0.62,1.13,2.2,DFT,pristine,aflow
Pr1Sn1O6,Pr,Sn,3.0,4.0,3.7406730326023605,10.855,6.55556,-7.22882,,-7.22882,0.363631,2.1716,insulator-direct,60.0,152.83925749062988,82.69009909336393,209.791131331557,0.2767727969295051,468.26674723641986,,3.879604702094744e-05,,1.126,0.69,1.13,1.96,DFT,pristine,aflow
Pr1Te1O6,Pr,Te,3.0,4.0,3.854660675357549,11.0239,6.43549,-6.57051,,-6.57051,0.363282,0.0,half-metal,68.0,159.67447812003195,75.91348839819054,196.48317059423263,0.29045789343853073,466.9376584569272,,3.933081048372537e-05,,1.126,0.97,1.13,2.1,DFT,pristine,aflow
Pr1Zr1O6,Pr,Zr,3.0,4.0,5.751047333200947,10.8393,6.011055000000001,-9.12392,,-9.12392,0.3636175,3.4361,insulator-direct,60.0,159.02102283488736,85.08482531654725,216.97990763288323,0.2745214600552082,491.4633126310636,,3.100184934046624e-05,,1.126,0.72,1.13,1.33,DFT,pristine,aflow
Sc1Mn1O6,Sc,Mn,3.0,4.0,5.221862564716931,9.7751,4.43436,-7.81459,,-7.81459,0.545418,1.0503,insulator-indirect,68.0,173.35067943186996,100.31670454946999,250.80267687643658,0.26717311729517784,608.3262470040114,,4.248269905080067e-05,,0.87,0.53,1.36,1.55,DFT,pristine,aflow
Nb1Sn1O6,Sn,Nb,2.0,5.0,7.65654,10.7485,5.72543,-7.50126,,-7.50126,0.0,1.0459,insulator-indirect,64.0,142.967,97.4137,238.151,0.22237,556.831,,3.04421e-05,,1.053,0.64,1.96,1.6,DFT,pristine,aflow
